Game Name,i,j,Engine Conditions,Simple Engine Conditions,Engine UTN Error,Simple Engine UTN Error
Bird1,19,9,102,56,23,23
Bird1,19,10,102,56,26,26
Bird1,19,11,102,56,29,29
Bird1,19,12,102,56,34,34
Bird1,19,13,102,56,37,37
Bird1,19,14,102,56,42,42
Bird1,19,15,102,56,47,47
Bird1,19,16,102,56,52,52
Bird1,19,17,102,56,57,57
Bird1,19,18,102,56,62,62
Bird1,20,1,102,56,0,0
Bird1,20,2,102,56,0,0
Bird1,20,3,102,56,0,0
Bird1,20,4,102,56,0,0
Bird1,20,5,102,56,5,5
Bird1,20,6,102,56,8,8
Bird1,20,7,102,56,13,13
Bird1,20,8,102,56,18,18
Bird1,20,9,102,56,23,23
Bird1,20,10,102,56,26,26
Bird1,20,11,102,56,29,29
Bird1,20,12,102,56,34,34
Bird1,20,13,102,56,37,37
Bird1,20,14,102,56,42,42
Bird1,20,15,102,56,47,47
Bird1,20,16,102,56,52,52
Bird1,20,17,102,56,57,57
Bird1,20,18,102,56,62,62
Bird1,20,19,102,56,65,65
Bird1,21,1,102,56,0,0
Bird1,21,2,102,56,0,0
Bird1,21,3,102,56,0,0
Bird1,21,4,102,56,0,0
Bird1,21,5,102,56,5,5
Bird1,21,6,102,56,8,8
Bird1,21,7,102,56,13,13
Bird1,21,8,102,56,18,18
Bird1,21,9,102,56,23,23
Bird1,21,10,102,56,26,26
Bird1,21,11,102,56,29,29
Bird1,21,12,102,56,34,34
Bird1,21,13,102,56,37,37
Bird1,21,14,102,56,42,42
Bird1,21,15,102,56,47,47
Bird1,21,16,102,56,52,52
Bird1,21,17,102,56,57,57
Bird1,21,18,102,56,62,62
Bird1,21,19,102,56,65,65
Bird1,21,20,102,56,68,68
Bird1,22,1,126,69,0,0
Bird1,22,2,126,69,0,0
Bird1,22,3,126,69,0,0
Bird1,22,4,126,69,0,0
Bird1,22,5,126,69,5,5
Bird1,22,6,126,69,8,8
Bird1,22,7,126,69,13,13
Bird1,22,8,126,69,18,18
Bird1,22,9,126,69,23,23
Bird1,22,10,126,69,26,26
Bird1,22,11,126,69,29,29
Bird1,22,12,126,69,34,34
Bird1,22,13,126,69,37,37
Bird1,22,14,126,69,42,42
Bird1,22,15,126,69,47,47
Bird1,22,16,126,69,52,52
Bird1,22,17,126,69,57,57
Bird1,22,18,126,69,62,62
Bird1,22,19,126,69,65,65
Bird1,22,20,126,69,68,68
Bird1,22,21,126,69,75,75
Bird1,23,1,150,81,0,0
Bird1,23,2,150,81,0,0
Bird1,23,3,150,81,0,0
Bird1,23,4,150,81,0,0
Bird1,23,5,150,81,5,5
Bird1,23,6,150,81,8,8
Bird1,23,7,150,81,13,13
Bird1,23,8,150,81,18,18
Bird1,23,9,150,81,23,23
Bird1,23,10,150,81,26,26
Bird1,23,11,150,81,29,29
Bird1,23,12,150,81,34,34
Bird1,23,13,150,81,37,37
Bird1,23,14,150,81,42,42
Bird1,23,15,150,81,47,47
Bird1,23,16,150,81,52,52
Bird1,23,17,150,81,57,57
Bird1,23,18,150,81,62,62
Bird1,23,19,150,81,65,65
Bird1,23,20,150,81,68,68
Bird1,23,21,150,81,75,75
Bird1,23,22,150,81,80,80
Bird1,24,1,150,81,0,0
Bird1,24,2,150,81,0,0
Bird1,24,3,150,81,0,0
Bird1,24,4,150,81,0,0
Bird1,24,5,150,81,5,5
